Tytul;Moja_ocena;Srednia_ocena;Premiera;Rok;Liczba_glosow;Gatunek;Produkcja;Dlugosc;Rezyser
Iluzjonista;4;7.8;27 kwiecieÒ 2006;2006;285 327;Fantasy;Czechy;1 godz. 50 min.;Neil Burger
Z lasu;6;5.0;25 styczeÒ 2015;2015;9 425;Horror;Irlandia;1 godz. 32 min.;Corin Hardy
Dom na koÒcu ulicy;4;6.1;21 wrzesieÒ 2012;2012;37 444;Thriller;Kanada;1 godz. 41 min.;Mark Tonderai
Igrzyska úmierci: Kosog≥os. CzÍúÊ 2;5;6.7;4 listopad 2015;2015;149 079;Akcja;Niemcy;2 godz. 17 min.;Francis Lawrence
SiÛdmy syn;5;5.6;17 grudzieÒ 2014;2014;46 204;Familijny;Chiny;1 godz. 42 min.;Sergey Bodrov
Powietrze;6;5.0;14 sierpieÒ 2015;2015;5 294;Thriller;USA;1 godz. 35 min.;Christian Cantamessa
Oficer Blart w Las Vegas;7;5.0;9 kwiecieÒ 2015;2015;4 752;Komedia;USA;1 godz. 34 min.;Andy Fickman
Szeregowiec Ryan;7;8.1;24 lipiec 1998;1998;633 607;Dramat;USA;2 godz. 50 min.;Steven Spielberg
Zielona mila;8;8.6;6 grudzieÒ 1999;1999;971 972;Dramat;USA;3 godz. 8 min.;Frank Darabont
Wielkie oczy;9;6.9;25 grudzieÒ 2014;2014;69 066;Biograficzny;USA;1 godz. 45 min.;Tim Burton
Ashby;6;6.5;19 kwiecieÒ 2015;2015;7 808;Dramat;USA;1 godz. 40 min.;Tony McNamara
Trzy razy úmierÊ;7;5.7;6 wrzesieÒ 2014;2014;3 902;Akcja;Australia;1 godz. 30 min.;Kriv Stenders
PozwÛl mi wejúÊ;4;6.2;13 wrzesieÒ 2010;2010;31 162;Horror;USA;1 godz. 55 min.;Matt Reeves
Carrie;5;5.5;7 paüdziernik 2013;2013;81 424;Dramat;USA;1 godz. 40 min.;Kimberly Peirce
Igrzyska úmierci: W pierúcieniu ognia;5;7.3;11 listopad 2013;2013;277 113;Akcja;USA;2 godz. 26 min.;Francis Lawrence
Victor Frankenstein;7;5.8;10 listopad 2015;2015;21 286;Dramat;USA;1 godz. 50 min.;Paul McGuigan
Szach-mat;8;6.7;22 czerwiec 2013;2013;1 326;Dramat;USA;1 godz. 40 min.;Jake Goldberger
Speed: Niebezpieczna prÍdkoúÊ;5;6.8;10 czerwiec 1994;1994;129 813;Sensacyjny;USA;1 godz. 56 min.;Jan De Bont
Dom snÛw;7;6.7;29 wrzesieÒ 2011;2011;80 708;Thriller;USA;1 godz. 32 min.;Jim Sheridan
Mumia;6;6.8;16 kwiecieÒ 1999;1999;167 792;Fantasy;USA;2 godz. 5 min.;Stephen Sommers
Dobre zabijanie;7;6.3;5 wrzesieÒ 2014;2014;6 462;Dramat;USA;1 godz. 44 min.;Andrew Niccol
Zemsta;6;5.9;4 paüdziernik 2002;2002;45 761;Komedia;Polska;1 godz. 40 min.;Andrzej Wajda
Igrzyska úmierci;7;7.2;12 marzec 2012;2012;350 457;Akcja;USA;2 godz. 22 min.;Gary Ross
Wolny strzelec;7;7.4;5 wrzesieÒ 2014;2014;115 028;Dramat;USA;1 godz. 57 min.;Dan Gilroy
Wyrmwood: Droga do øywych trupÛw;4;5.7;19 wrzesieÒ 2014;2014;4 723;Horror;Australia;1 godz. 38 min.;Kiah Roache-Turner
Gorπcy poúcig;6;5.6;7 maj 2015;2015;25 604;Komedia;USA;1 godz. 27 min.;Anne Fletcher
Co kryje prawda;5;6.9;21 lipiec 2000;2000;32 418;Thriller;USA;2 godz. 10 min.;Robert Zemeckis
Transfer;7;7.0;7 wrzesieÒ 2007;2007;26 729;Dramat;USA;2 godz.;Gavin Hood
V jak Vendetta;8;7.4;13 luty 2006;2005;285 910;Thriller;Niemcy;2 godz. 12 min.;James McTeigue
Pentameron;4;6.4;14 maj 2015;2015;28 046;Fantasy;Francja;2 godz. 14 min.;Matteo Garrone
Miasteczko, ktÛre ba≥o siÍ zmierzchu;4;5.1;14 paüdziernik 2014;2014;4 963;Horror;USA;1 godz. 26 min.;Alfonso Gomez-Rejon
Sypiajπc z innymi;5;5.8;24 styczeÒ 2015;2015;15 238;Komedia;USA;1 godz. 35 min.;Leslye Headland
Tajemnice lasu;6;6.0;8 grudzieÒ 2014;2014;56 015;Fantasy;USA;2 godz. 4 min.;Rob Marshall
Sicario;5;7.2;19 maj 2015;2015;122 548;Dramat;USA;2 godz. 1 min.;Denis Villeneuve
Gra tajemnic;5;7.4;29 sierpieÒ 2014;2014;176 302;Biograficzny;USA;1 godz. 53 min.;Morten Tyldum
Anonimowi autorzy;6;4.2;18 kwiecieÒ 2014;2014;1 117;Komedia;USA;1 godz. 35 min.;Ellie Kanner
Klik: I robisz, co chcesz;8;6.5;14 czerwiec 2006;2006;193 256;Fantasy;USA;1 godz. 47 min.;Frank Coraci
Øona na niby;6;6.8;8 luty 2011;2011;136 964;Komedia rom.;USA;1 godz. 57 min.;Dennis Dugan
Niemoøliwe;5;7.4;9 wrzesieÒ 2012;2012;152 716;Katastroficzny;Hiszpania;1 godz. 54 min.;J.A. Bayona
Crimson Peak. WzgÛrze krwi;7;6.2;25 wrzesieÒ 2015;2015;57 048;Horror;USA;1 godz. 59 min.;Guillermo del Toro
Ugotowany;5;6.6;22 paüdziernik 2015;2015;123 291;Dramat;USA;1 godz. 40 min.;John Wells
Pakt z diab≥em;5;6.7;4 wrzesieÒ 2015;2015;50 894;Dramat;USA;2 godz. 2 min.;Scott Cooper
Diabelska prze≥Ícz;4;6.5;8 wrzesieÒ 2013;2013;18 567;Biograficzny;USA;1 godz. 54 min.;Atom Egoyan
World War Z;7;6.6;2 czerwiec 2013;2013;182 063;Horror;USA;1 godz. 56 min.;Marc Forster
£owca czarownic;7;6.2;13 paüdziernik 2015;2015;63 006;Fantasy;Chiny;1 godz. 46 min.;Breck Eisner
Praktykant;5;7.2;21 wrzesieÒ 2015;2015;185 950;Komedia;USA;2 godz. 1 min.;Nancy Meyers
Plaga;8;6.2;29 marzec 2007;2007;29 335;Horror;USA;1 godz. 36 min.;Stephen Hopkins
Mroczny Rycerz powstaje;8;7.7;16 lipiec 2012;2012;295 466;Akcja;USA;2 godz. 45 min.;Christopher Nolan
Air Force One;7;6.3;21 lipiec 1997;1997;37 902;Sensacyjny;Niemcy;2 godz. 4 min.;Wolfgang Petersen
Sekstaúma;6;5.4;16 lipiec 2014;2014;74 162;Komedia;USA;1 godz. 34 min.;Jake Kasdan
PodrÛøe Guliwera 3D;5;5.5;22 grudzieÒ 2010;2010;30 748;Fantasy;USA;1 godz. 25 min.;Rob Letterman
Rogi;5;5.9;6 wrzesieÒ 2013;2013;45 841;Horror;Kanada;2 godz. 3 min.;Alexandre Aja
Maggie;7;5.3;22 kwiecieÒ 2015;2015;9 842;Dramat;Austria;1 godz. 35 min.;Henry Hobson
Snajper;6;7.6;11 listopad 2014;2014;236 471;Biograficzny;USA;2 godz. 14 min.;Clint Eastwood
Urodzeni zwyciÍzcy;5;5.5;24 styczeÒ 2015;2015;2 418;Dramat;USA;1 godz. 48 min.;Anna Boden
Marsjanin;7;7.6;11 wrzesieÒ 2015;2015;268 953;Sci-Fi;USA;2 godz. 21 min.;Ridley Scott
Dar;6;6.5;30 lipiec 2015;2015;33 995;Thriller;Australia;1 godz. 48 min.;Joel Edgerton
Jutro bÍdzie futro 2;6;5.1;7 styczeÒ 2015;2015;7 022;Komedia;USA;1 godz. 33 min.;Steve Pink
Outlander;9;6.3;11 lipiec 2008;2008;22 784;Przygodowy;Niemcy;1 godz. 55 min.;Howard McCain
Most do Terabithii;6;7.3;15 luty 2007;2007;113 221;Dramat;USA;1 godz. 35 min.;Gabor Csupo
Oblicze mi≥oúci;4;6.5;12 wrzesieÒ 2013;2013;3 700;Dramat;USA;1 godz. 32 min.;Arie Posin
Incepcja;7;8.3;8 lipiec 2010;2010;590 830;Surrealistyczny;USA;2 godz. 28 min.;Christopher Nolan
Gwiezdne wojny: Przebudzenie Mocy;7;7.3;14 grudzieÒ 2015;2015;229 199;Przygodowy;USA;2 godz. 15 min.;J.J. Abrams
Everest;7;7.3;2 wrzesieÒ 2015;2015;140 326;Przygodowy;Islandia;2 godz. 1 min.;Baltasar Korm·kur
Weso≥e kurcze úwiÍta;5;5.2;22 listopad 2014;2014;1 669;Komedia;USA;1 godz. 28 min.;Tristram Shapeero
WiÍzieÒ labiryntu: PrÛby ognia;4;6.5;1 wrzesieÒ 2015;2015;122 728;Thriller;USA;2 godz. 12 min.;Wes Ball
S≥uøπce;4;8.1;9 sierpieÒ 2011;2011;269 519;Dramat;Indie;2 godz. 26 min.;Tate Taylor
Pan i Pani Kiler;6;6.0;1 czerwiec 2010;2010;74 390;Akcja;USA;1 godz. 40 min.;Robert Luketic
American Ultra;9;5.6;18 sierpieÒ 2015;2015;12 363;Komedia;Austria;1 godz. 36 min.;Nima Nourizadeh
Szklana pu≥apka 2;6;7.4;2 lipiec 1990;1990;106 287;Sensacyjny;USA;2 godz. 4 min.;Renny Harlin
UczeÒ czarnoksiÍønika;7;6.5;8 lipiec 2010;2010;122 886;Fantasy;USA;1 godz. 51 min.;Jon Turteltaub
Wojna imperiÛw;6;6.0;18 luty 2015;2015;7 729;Dramat;Chiny;2 godz. 5 min.;Daniel Lee
Mission: Impossible - Rogue Nation;5;6.8;23 lipiec 2015;2015;67 730;Sensacyjny;Chiny;2 godz. 11 min.;Christopher McQuarrie
Czego dusza zapragnie;7;5.9;12 sierpieÒ 2015;2015;16 179;Komedia;USA;1 godz. 25 min.;Terry Jones
W nowym zwierciadle: Wakacje;8;6.3;29 lipiec 2015;2015;45 036;Komedia;USA;1 godz. 39 min.;John Francis Daley
WieczÛr kawalerski w plenerze;6;6.3;10 wrzesieÒ 2013;2013;2 222;Komedia;Irlandia;1 godz. 34 min.;John Butler
Prawdziwa jazda;7;6.4;17 styczeÒ 2014;2014;23 135;Komedia;USA;1 godz. 40 min.;Tim Story
Polowanie na druøbÛw;8;6.7;14 styczeÒ 2015;2015;32 206;Komedia;USA;1 godz. 41 min.;Jeremy Garelick
G≥osy;6;6.3;19 styczeÒ 2014;2014;27 436;Thriller;Niemcy;1 godz. 47 min.;Marjane Satrapi
Ted 2;3;6.2;25 czerwiec 2015;2015;108 532;Komedia;USA;1 godz. 59 min.;Seth MacFarlane
Fantastyczna CzwÛrka;6;4.8;5 sierpieÒ 2015;2015;46 491;Akcja;USA;1 godz. 40 min.;Josh Trank
Ocalona;6;5.7;21 maj 2015;2015;9 839;Thriller;USA;1 godz. 36 min.;James McTeigue
Cienki Bolek;6;6.2;16 marzec 2015;2015;31 743;Komedia;USA;1 godz. 40 min.;Etan Cohen
Ant-Man;7;7.0;29 czerwiec 2015;2015;151 798;Akcja;USA;1 godz. 57 min.;Peyton Reed
Magik z Nowego Jorku;7;6.2;11 wrzesieÒ 2014;2014;17 463;Dramat;USA;1 godz. 39 min.;Tom McCarthy
Piksele;7;5.7;16 lipiec 2015;2015;59 968;Komedia;Chiny;1 godz. 46 min.;Chris Columbus
W g≥owie siÍ nie mieúci;6;7.7;18 maj 2015;2015;210 399;Animacja;USA;1 godz. 34 min.;Pete Docter
Minionki rozrabiajπ;9;7.3;20 czerwiec 2013;2013;108 527;Animacja;USA;1 godz. 38 min.;Pierre Coffin
40 lat minÍ≥o;2;5.8;20 grudzieÒ 2012;2012;21 450;Komedia;USA;2 godz. 14 min.;Judd Apatow
Jak ukraúÊ KsiÍøyc;8;7.4;20 czerwiec 2010;2010;126 463;Animacja;USA;1 godz. 35 min.;Chris Renaud
Momentum;3;5.6;12 lipiec 2015;2015;6 136;Thriller;RPA;1 godz. 36 min.;Stephen S. Campanelli
Ex Machina;7;7.3;21 styczeÒ 2015;2015;182 037;Thriller;Wielka Brytania;1 godz. 48 min.;Alex Garland
Ultraviolet;1;5.3;3 marzec 2006;2006;18 520;Akcja;USA;1 godz. 28 min.;Kurt Wimmer
Terminator: Genisys;8;6.2;21 czerwiec 2015;2015;68 372;Akcja;USA;2 godz. 6 min.;Alan Taylor
Szkolna zaraza;6;4.8;18 styczeÒ 2014;2014;3 855;Czarna komedia;USA;1 godz. 36 min.;Jonathan Milott
Polowanie na prezydenta;7;4.5;5 wrzesieÒ 2014;2014;11 085;Akcja;Finlandia;1 godz. 30 min.;Jalmari Helander
San Andreas;6;6.0;21 maj 2015;2015;68 052;Katastroficzny;Australia;1 godz. 54 min.;Brad Peyton
Jurassic World;4;6.5;29 maj 2015;2015;148 404;Przygodowy;USA;2 godz. 4 min.;Colin Trevorrow
Jupiter: Intronizacja;8;5.3;27 styczeÒ 2015;2015;69 525;Akcja;Australia;2 godz. 5 min.;Lilly Wachowski
Z≥oty úrodek;7;4.5;20 marzec 2009;2009;24 518;Komedia;Polska;1 godz. 44 min.;Olaf Lubaszenko
Sok z øuka;5;7.2;29 marzec 1988;1988;167 794;Fantasy;USA;1 godz. 32 min.;Tim Burton
Elizjum;5;6.4;7 sierpieÒ 2013;2013;134 795;Akcja;USA;1 godz. 49 min.;Neill Blomkamp
Wyúcig z czasem;8;7.1;26 paüdziernik 2011;2011;187 475;Thriller;USA;1 godz. 49 min.;Andrew Niccol
Zbuntowana;7;6.6;11 marzec 2015;2015;120 658;Akcja;USA;2 godz.;Robert Schwentke
Epicentrum;6;5.9;28 lipiec 2014;2014;28 051;Katastroficzny;USA;1 godz. 29 min.;Steven Quale
Max Payne;5;5.9;13 paüdziernik 2008;2008;73 921;Krymina≥;Kanada;1 godz. 40 min.;John Moore
Mroczny Rycerz;7;8.0;14 lipiec 2008;2008;496 522;Akcja;USA;2 godz. 32 min.;Christopher Nolan
Smerfy;7;6.2;24 lipiec 2011;2011;57 852;Familijny;USA;1 godz. 43 min.;Raja Gosnell
Dom;8;6.8;19 marzec 2015;2015;30 078;Animacja;USA;1 godz. 34 min.;Tim Johnson
Mad Max: Na drodze gniewu;7;7.2;7 maj 2015;2015;200 708;Sensacyjny;Australia;2 godz.;George Miller
Avengers: Czas Ultrona;8;7.2;13 kwiecieÒ 2015;2015;194 337;Akcja;USA;2 godz. 21 min.;Joss Whedon
Rzeka tajemnic;8;7.7;23 maj 2003;2003;170 163;Thriller;Australia;2 godz. 17 min.;Clint Eastwood
Magic Mike;7;6.0;24 czerwiec 2012;2012;96 443;Dramat;USA;1 godz. 50 min.;Steven Soderbergh
Hobbit: Bitwa PiÍciu Armii;8;7.2;1 grudzieÒ 2014;2014;231 481;Fantasy;Nowa Zelandia;2 godz. 24 min.;Peter Jackson
KomÛrka;6;6.8;10 wrzesieÒ 2004;2004;53 746;Sensacyjny;Niemcy;1 godz. 34 min.;David R. Ellis
Paddington;7;6.9;23 listopad 2014;2014;28 759;Familijny;Francja;1 godz. 35 min.;Paul King
Osaczeni;7;7.0;29 kwiecieÒ 1999;1999;35 671;Sensacyjny;Niemcy;1 godz. 53 min.;Jon Amiel
NowoøeÒcy;7;6.2;8 styczeÒ 2003;2003;27 886;Komedia rom.;Niemcy;1 godz. 35 min.;Shawn Levy
Kurier;7;5.9;9 marzec 2014;2014;2 195;Komedia kryminalna;Australia;1 godz. 43 min.;Angus Sampson
Foxcatcher;6;6.4;19 maj 2014;2014;35 175;Biograficzny;USA;2 godz. 10 min.;Bennett Miller
To tylko seks;5;6.7;22 lipiec 2011;2011;207 584;Komedia rom.;USA;1 godz. 49 min.;Will Gluck
Kingsman: Tajne s≥uøby;6;7.3;24 styczeÒ 2015;2014;187 825;Akcja;USA;2 godz. 9 min.;Matthew Vaughn
Chappie;6;7.1;4 marzec 2015;2015;121 690;Akcja;RPA;2 godz.;Neill Blomkamp
DzieÒ z øycia blondynki;6;6.1;1 maj 2014;2014;34 770;Komedia;USA;1 godz. 35 min.;Steven Brill
W pogoni za duchami;5;3.5;20 styczeÒ 2013;2013;751;Horror;USA;1 godz. 24 min.;Ben Peyser
Pompeje;6;5.5;18 luty 2014;2014;55 180;Katastroficzny;Kanada;1 godz. 42 min.;Paul W.S. Anderson
Mimzy: mapa czasu;7;6.2;1 styczeÒ 2007;2007;3 668;Familijny;USA;1 godz. 34 min.;Robert Shaye
Hercules;6;5.8;23 lipiec 2014;2014;49 729;Przygodowy;USA;1 godz. 38 min.;Brett Ratner
300: Poczπtek imperium;7;6.2;4 marzec 2014;2014;92 175;Dramat;USA;1 godz. 42 min.;Noam Murro
Choleryk z Brooklynu;5;6.2;22 maj 2014;2014;12 016;Dramat;USA;1 godz. 23 min.;Phil Alden Robinson
Bezwstydny Mortdecai;6;6.2;21 styczeÒ 2015;2015;56 226;Komedia;USA;1 godz. 40 min.;David Koepp
NiedokoÒczony interes;5;5.4;3 marzec 2015;2015;9 953;Komedia;USA;1 godz. 31 min.;Ken Scott
Wakacje Jasia Fasoli;6;6.7;22 marzec 2007;2007;75 520;Familijny;Francja;1 godz. 29 min.;Steve Bendelack
Bez litoúci;7;7.2;7 wrzesieÒ 2014;2014;102 736;Thriller;USA;2 godz. 12 min.;Antoine Fuqua
Zatruta krew;6;5.2;5 luty 2014;2014;687;Dramat;USA;1 godz. 30 min.;Mark Young
Noc w muzeum;5;6.4;17 grudzieÒ 2006;2006;143 303;Familijny;USA;1 godz. 48 min.;Shawn Levy
Mroczne cienie;5;6.6;9 maj 2012;2012;165 388;Fantasy;Australia;1 godz. 53 min.;Tim Burton
Przepowiednia;6;6.7;25 styczeÒ 2002;2002;25 581;Thriller;USA;1 godz. 59 min.;Mark Pellington
Niebo istnieje... naprawdÍ;5;6.6;16 kwiecieÒ 2014;2014;45 638;Dramat;USA;1 godz. 40 min.;Randall Wallace
Anio≥y i demony;6;7.0;4 maj 2009;2009;226 063;Thriller;USA;2 godz. 18 min.;Ron Howard
Jestem legendπ;6;7.5;5 grudzieÒ 2007;2007;468 301;Horror;USA;1 godz. 41 min.;Francis Lawrence
Hancock;6;7.0;16 czerwiec 2008;2008;241 788;Fantasy;USA;1 godz. 42 min.;Peter Berg
Smoking;7;6.3;19 wrzesieÒ 2002;2002;29 120;Komedia;USA;1 godz. 38 min.;Kevin Donovan
£atwa dziewczyna;7;6.5;11 wrzesieÒ 2010;2010;142 966;Komedia;USA;1 godz. 32 min.;Will Gluck
Atlantyda - zaginiony lπd;7;7.4;2 czerwiec 2001;2001;56 119;Animacja;USA;1 godz. 30 min.;Kirk Wise
12 rund;5;6.3;19 marzec 2009;2009;16 422;Akcja;USA;1 godz. 48 min.;Renny Harlin
Ostatni samuraj;7;7.7;22 listopad 2003;2003;270 295;Dramat historyczny;USA;2 godz. 34 min.;Edward Zwick
Forrest Gump;10;8.5;23 czerwiec 1994;1994;961 759;Dramat;USA;2 godz. 22 min.;Robert Zemeckis
John Rambo;7;6.8;23 styczeÒ 2008;2008;73 146;Akcja;Niemcy;1 godz. 32 min.;Sylvester Stallone
Dyktator;7;6.4;16 maj 2012;2012;143 730;Komedia;USA;1 godz. 23 min.;Larry Charles
Dziewczyna moich koszmarÛw;6;6.0;27 wrzesieÒ 2007;2007;56 616;Komedia rom.;USA;1 godz. 55 min.;Bobby Farrelly
Metro strachu;6;6.6;4 czerwiec 2009;2009;49 449;Sensacyjny;USA;1 godz. 46 min.;Tony Scott
Ghost Rider 2;5;5.3;11 grudzieÒ 2011;2011;52 817;Fantasy;USA;1 godz. 35 min.;Mark Neveldine
Exodus: Bogowie i krÛlowie;7;6.1;3 grudzieÒ 2014;2014;63 639;Dramat;Hiszpania;2 godz. 30 min.;Ridley Scott
Legion;5;5.4;21 styczeÒ 2010;2010;51 644;Fantasy;USA;1 godz. 40 min.;Scott Stewart
Iron Man 2;5;7.3;26 kwiecieÒ 2010;2010;248 674;Akcja;USA;2 godz. 4 min.;Jon Favreau
Och, øycie;7;7.0;2 paüdziernik 2010;2010;105 328;Dramat;USA;1 godz. 54 min.;Greg Berlanti
Annie;7;6.4;7 grudzieÒ 2014;2014;11 399;Dramat;USA;1 godz. 58 min.;Will Gluck
Myúl jak facet 2;6;6.1;20 czerwiec 2014;2014;10 219;Komedia rom.;USA;1 godz. 46 min.;Tim Story
Niez≥y Meksyk;5;5.5;12 wrzesieÒ 2014;2014;3 147;Komedia;USA;1 godz. 33 min.;Scot Armstrong
Super 8;7;6.3;9 czerwiec 2011;2011;54 771;Thriller;USA;1 godz. 52 min.;J.J. Abrams
Shrek Forever;7;6.6;21 kwiecieÒ 2010;2010;151 884;Animacja;USA;1 godz. 33 min.;Mike Mitchell
Niegrzeczne dzieciaki trafiajπ do piek≥a;7;3.6;13 lipiec 2012;2012;1 156;Horror;USA;1 godz. 31 min.;Matthew Spradlin
Noc w muzeum: Tajemnica grobowca;4;6.5;17 grudzieÒ 2014;2014;37 382;Familijny;USA;1 godz. 37 min.;Shawn Levy
Rycerze (nie) na niby;6;5.2;25 wrzesieÒ 2013;2013;3 988;Fantasy;USA;1 godz. 26 min.;Joe Lynch
Igrzyska úmierci: Kosog≥os. CzÍúÊ 1;7;6.7;10 listopad 2014;2014;199 741;Akcja;USA;2 godz. 3 min.;Francis Lawrence
Percy Jackson: Morze potworÛw;5;6.4;7 sierpieÒ 2013;2013;55 227;Familijny;USA;1 godz. 46 min.;Thor Freudenthal
Interstellar;9;7.9;26 paüdziernik 2014;2014;357 197;Sci-Fi;USA;2 godz. 49 min.;Christopher Nolan
Udajπc gliniarzy;6;6.6;13 sierpieÒ 2014;2014;61 556;Komedia;USA;1 godz. 44 min.;Luke Greenfield
Riddick;6;6.6;4 wrzesieÒ 2013;2013;74 111;Akcja;USA;1 godz. 59 min.;David Twohy
Przetrwanie;5;6.4;26 styczeÒ 2012;2011;62 959;Dramat;USA;1 godz. 57 min.;Joe Carnahan
Coú;5;5.8;10 paüdziernik 2011;2011;47 229;Horror;Kanada;1 godz. 43 min.;Matthijs van Heijningen Jr.
Szefowie wrogowie 2;5;6.2;12 listopad 2014;2014;56 729;Komedia kryminalna;USA;1 godz. 48 min.;Sean Anders
Pingwiny z Madagaskaru;6;6.8;8 listopad 2014;2014;83 387;Animacja;USA;1 godz. 32 min.;Simon J. Smith
King Kong;7;6.5;5 grudzieÒ 2005;2005;142 429;Fantasy;Niemcy;3 godz. 7 min.;Peter Jackson
Last Minute;7;4.3;22 luty 2013;2013;47 402;Komedia;Polska;1 godz. 22 min.;Patryk Vega
Furia;5;7.3;15 paüdziernik 2014;2014;159 485;Dramat;Chiny;2 godz. 14 min.;David Ayer
Ambassada;6;5.3;18 paüdziernik 2013;2013;32 627;Komedia;Polska;1 godz. 45 min.;Juliusz Machulski
Madagaskar 3;6;6.9;18 maj 2012;2012;115 815;Animacja;USA;1 godz. 29 min.;Eric Darnell
Wywiad ze s≥oÒcem narodu;7;5.7;11 grudzieÒ 2014;2014;50 402;Komedia;USA;1 godz. 52 min.;Evan Goldberg
Chce siÍ øyÊ;8;7.7;25 sierpieÒ 2013;2013;114 304;Dramat;Polska;1 godz. 47 min.;Maciej Pieprzyca
Bogowie;7;8.0;18 wrzesieÒ 2014;2014;334 349;Biograficzny;Polska;2 godz. 1 min.;£ukasz Palkowski
Armageddon;8;7.4;30 czerwiec 1998;1998;248 192;Katastroficzny;USA;2 godz. 30 min.;Michael Bay
Non-Stop;7;7.0;27 styczeÒ 2014;2014;93 283;Thriller;Francja;1 godz. 46 min.;Jaume Collet-Serra
Kroczπc wúrÛd cieni;7;6.6;18 wrzesieÒ 2014;2014;45 699;Dramat;USA;1 godz. 54 min.;Scott Frank
Braveheart - Waleczne Serce;6;8.1;18 maj 1995;1995;391 013;Dramat historyczny;USA;2 godz. 57 min.;Mel Gibson
Jestem numerem cztery;7;6.4;17 luty 2011;2011;115 575;Thriller;USA;1 godz. 49 min.;D.J. Caruso
Jack: Pogromca olbrzymÛw;7;6.2;27 luty 2013;2013;40 967;Fantasy;USA;1 godz. 54 min.;Bryan Singer
Wiecznie øywy;7;6.4;16 styczeÒ 2013;2013;70 269;Horror;USA;1 godz. 37 min.;Jonathan Levine
Dziecko z piek≥a rodem;5;4.4;20 styczeÒ 2013;2013;2 390;Horror;USA;1 godz. 38 min.;Robert Ben Garant
Miasto 44;6;6.4;30 lipiec 2014;2014;162 741;Dramat;Polska;2 godz. 10 min.;Jan Komasa
WkrÍceni;3;5.5;10 styczeÒ 2014;2013;63 401;Komedia;Polska;1 godz. 40 min.;Piotr Wereúniak
Gniew tytanÛw;5;6.2;28 marzec 2012;2012;77 938;Fantasy;Hiszpania;1 godz. 39 min.;Jonathan Liebesman
Druøyna A;7;6.9;3 czerwiec 2010;2010;94 592;Komedia;USA;1 godz. 57 min.;Joe Carnahan
Kapitan Ameryka: Zimowy Øo≥nierz;7;7.3;13 marzec 2014;2014;179 089;Akcja;USA;2 godz. 16 min.;Anthony Russo
Madagaskar;7;7.5;25 maj 2005;2005;387 074;Animacja;USA;1 godz. 26 min.;Tom McGrath
Druøyna specjalnej troski;7;5.9;22 lipiec 2005;2005;1 918;Komedia;USA;1 godz. 53 min.;Richard Linklater
Apocalypto;6;7.3;8 grudzieÒ 2006;2006;177 679;Dramat;USA;2 godz. 19 min.;Mel Gibson
Pacyfikator;5;6.6;1 marzec 2005;2005;74 686;Familijny;Kanada;1 godz. 35 min.;Adam Shankman
Straszny dom;4;6.4;30 maj 2006;2006;23 843;Animacja;USA;1 godz. 31 min.;Gil Kenan
Nauka spadania;5;6.7;10 luty 2014;2014;50 151;Dramat;Niemcy;1 godz. 36 min.;Pascal Chaumeil
Annabelle;6;5.7;25 wrzesieÒ 2014;2014;78 057;Horror;USA;1 godz. 38 min.;John R. Leonetti
Projekt X;5;6.5;1 marzec 2012;2012;176 525;Komedia;USA;1 godz. 28 min.;Nima Nourizadeh
ObÛz integracyjny;5;4.5;27 kwiecieÒ 2013;2013;5 923;Komedia;USA;1 godz. 35 min.;Rob Meltzer
W≥adca Pierúcieni: PowrÛt krÛla;6;8.4;1 grudzieÒ 2003;2003;505 939;Fantasy;Nowa Zelandia;3 godz. 21 min.;Peter Jackson
Deja Vu;6;7.3;20 listopad 2006;2006;219 476;Thriller;USA;2 godz. 8 min.;Tony Scott
Listy do M.;5;6.9;10 listopad 2011;2011;234 720;Komedia rom.;Polska;1 godz. 56 min.;Mitja Okorn
Odd Thomas: Pogromca z≥a;7;6.1;5 kwiecieÒ 2013;2013;7 942;Fantasy;USA;1 godz. 40 min.;Stephen Sommers
Cop Out: Fujary na tropie;7;6.1;25 luty 2010;2010;28 205;Komedia kryminalna;USA;1 godz. 47 min.;Kevin Smith
American Pie;7;6.5;7 lipiec 1999;1999;359 799;Komedia;USA;1 godz. 35 min.;Chris Weitz
Ja, Frankenstein;5;5.3;16 styczeÒ 2014;2014;32 990;Fantasy;Australia;1 godz. 32 min.;Stuart Beattie
Kamienie na szaniec;5;6.8;3 marzec 2014;2014;91 941;Dramat;Polska;1 godz. 47 min.;Robert GliÒski
Muppety: Poza prawem;7;6.2;11 marzec 2014;2014;11 018;Familijny;USA;1 godz. 52 min.;James Bobin
Poradnik pozytywnego myúlenia;7;7.2;8 wrzesieÒ 2012;2012;288 630;Dramat;USA;2 godz. 2 min.;David O. Russell
R.I.P.D. Agenci z zaúwiatÛw;6;6.0;17 lipiec 2013;2013;60 736;Komedia;USA;1 godz. 36 min.;Robert Schwentke
Red;7;7.1;29 wrzesieÒ 2010;2010;123 076;Komedia;USA;1 godz. 51 min.;Robert Schwentke
DwÛch gniewnych ludzi;7;6.8;5 marzec 2003;2003;66 974;Dramat;USA;1 godz. 46 min.;Peter Segal
Grawitacja;7;6.6;28 sierpieÒ 2013;2013;211 124;Dramat;USA;1 godz. 30 min.;Alfonso CuarÛn
Alicja w Krainie CzarÛw;6;7.1;25 luty 2010;2010;357 359;Familijny;USA;1 godz. 48 min.;Tim Burton
